,title,description,average_score,number_of_reviews,type
1100,24 Fantasy Adventure Character Sheets,From the description page: These pre-drawn characters may be cut out and colored in for use with your FANTASY ADVENTURE CHARACTER SHEETS.,0.0,0,TTRPG
1101,A Traveller's Guide to the Marischal Subsector,This was a book about an out of the way sector in the Traveller universe,0.0,0,TTRPG
1103,Monstrum I,Form the Introduction: Welcome to the Varanae series of books. We hope the monsters in this edition will increase the interest and excitement of your game. This publication was designed to be used with any fantasy or science fiction game. The description of each creature will help you understand the personality of each one and ways is can be played. However these are only guides and the personality of each creature can be changed by the Referee. User summary: This book contains images and descriptions of 100 different creatures.,0.0,0,TTRPG
1104,Owlhoot,"Publisher Description Campaign rules for the OLD WEST, complete with pull-outs for a town's floorplans, stat sheets for its inhabitants, have a cattle drive, a range war, a posse after wanted men--or live a life of crime. User Summary A campaign expansion for the Tin Star RPG of Wild West gunfights. The expansion includes a large scale hex map of the surrounding area and smaller scale maps for use in playing out tactical encounters using 25mm figures. Stats for NPC inhabitants of the town of Owlhoot are included.",0.0,0,TTRPG
1106,Rahasia,Rahasia is the original scenario that formed the basis of the latter publications: RPGA1: Rahasia B7: Rahasia It was produced by the self-publishing concern of the author prior to its purchase by TSR. From the introduction: A series of 'one-night' scenarios designed to be used in conjunction with existing fantasy role-playing systems.,0.0,0,TTRPG
1124,Wizards' Realm,"Publisher Blurb: Quite possibly, Wizards' Realm is your first introduction to the adventure of fantasy role-playing (though you've most likely heard of such gaming before). FRP, as it is abbreviated, lets you capture all the fun and challenge of ""make-believe"" again: You and your fellow-players are actors in a drama of your own invention, as you create your own characters and send them across imaginary worlds in search of wonder.",0.0,0,TTRPG
1182,Personal and Vehicular Basic Loads and The Morrow Project Role Playing Expansion,"From the back of the book: LOAD UP! With this new basic loads package for the Morrow Project! This package contains both Personal and Vehicular basic loads comprising all of the following: Vehicles: MARS Science SKS V-150 APC V-150 TOW V-150 81mm V-151 20mm Commando Scout XR 311 Commando Ranger Air Scout HAAM Suit All 22 Personal Loads: Rifles, Machine Guns, and Sub Machine Guns, Laser, Dragon Missile, Flame Thrower, Medical and more. Computer compiled Structure Point/Blood Point Tables to aid in character generation. Separate, new format character sheets And The all new Role Playing Expansion Booklet Making possible new skills, college degrees, prior military service, and more! Your Morrow Project Games Can Only Get Better!",0.0,0,TTRPG
1189,The Freak Show,"A 3 mini solo adventures for 1st to 4th level characters. Each adventure shares a common setting but is designed for a different character class (i.e. one scenario designed for a Paladin or Lawful Good Warrior-Cleric, one for an Illusionist or other user of magic, one for a Ranger of other Fighter adept at tracking.",0.0,0,TTRPG
1192,Prince of Thieves '81,User Summary A collection of the three scenarios that comprised the Prince of Thieves tournament that was conducted by Gamelords Ltd. in major gaming conventions during the summer of 1981.,0.0,0,TTRPG
1198,The Fantasy Gamers' Dictionary and Glossary,"From the introduction: We intend this book for those players just entering RPG and FRP; a gift for your encultruation. and for those long time players who have wished, once a while, everyone would mean the same thing with the same term.",0.0,0,TTRPG
1199,The Haunted House,"Publisher blurb Your dog Homer is your best friend. One afternoon he chases a white cat into a creepy old house. You call Homer’s name, but he doesn’t come back! You think this house looks haunted. You can follow Homer inside the old house, but if you meet a ghost or ghoul, you’ll have to decide what to do. Are you afraid? It’s all right to be a little bit scared, but Homer needs you! This adventure requires you to be brave and step inside the haunted house.",0.0,0,TTRPG
1200,The New Ysgarth Rules (3rd Edition),"The New Ysgarth Rules, 3rd Edition, was published in 1981 as a single 90-page booklet with a green cover showing a partial map of Ysgarth. This volume includes both game mechanics and some basic world background. It was supported by the publication of a series of adventures set in the world of Jahannam.",0.0,0,TTRPG
1208,High Fantasy GM Screen & Character Sheets,This is a folio that can be set up like a GM's screen and includes 20 character sheets,0.0,0,TTRPG
1213,Stones of the Selt,"A fantasy whodunit adventure for for character levels 1-5. Billed as ""Expae Island Mystery Number One"", and lists three other planned scenarios in the series, but none of them were published. ______________ From the 2nd Edition (Revised) September 1981...the additional Epxae Island Mysteries are as follows: Hall of the Eld - Stock #81-005 - Sept. 1981 The River of Death - Stock #81-006 - Oct. 1981 City of Not-Men - Stock #81-007 - TBA The Devil's Sea - Stock #81-008 - TBA Fortress of Evil - Stock #81-009 - TBA",0.0,0,TTRPG
1216,Flight of the Stag,"From the front cover: This folio adventure is designed for characters with Navy, Marine, or Scout Service backgrounds recalled to active duty during the Fifth Frontier War. The characters used in FLEETWATCH are personnel assigned to the Close Escort Stag.",0.0,0,TTRPG
1217,The Dungeon Trap Handbook,"The ""Dungeon Trap Handbook"" contains 38 tables for the fantasy game referee to use to roll up random traps for unwary adventurers. It is especially useful for designing on-the-spot traps for a party that has had things too easy up to now. Starting with Table 1, the referee will roll percentile dice, and the result will lead him/her to the next table, the result there will lead to the next table, and so forth for a half-dozen rolls until the trap is complete. Subsets of the tables can be used to generate the color, smell, taste, and effect of unknown potions or mystical fountains or sacred wells that adventurers are foolish enough to drink from; or they could be used for the effects of magical spells gone awry. A very versatile little booklet.",0.0,0,TTRPG
1223,Monster File Number One,User description: 44 new monsters for your FRP game. Each page has 4 creatures with the image on front and stats and description on back. The pages are intended to be cut to make a deck of cards.,0.0,0,TTRPG
1229,"Uchelglan, the Blood Tribute",Blood Tribute is the first adventure in a series set in the world of Jahannam. It was released in support of the 3rd Edition of Ysgarth. This booklet includes 12-page module and 4-page pull-out map section. It was printed at least twice.,0.0,0,TTRPG
1230,Imperial Data Recovery System,"The Imperial Data Recovery System is an Apple ][ computer program published as a play aid to speed up bookkeeping for Traveller, and assist with sector maps, character and ship records, accounting, and encounters.",0.0,0,TTRPG
1232,The Castle Perilous (Boxed Set),"From the back of the box: ""This game provides all you need to play an adventure which ends only when you wish it. Inside you will find: FIVE METAL FIGURINES: SAMURAI DWARF BARBARIAN RANGER & SHIELD MAIDEN COMPLETE RULES TWO COMPLETE ADVENTURES POSTERS PLAYER AIDS THREE SIX SIDED DICE (no other dice are necessary)""",0.0,0,TTRPG
