,title,description,average_score,number_of_reviews,type
9501,Widjit,"From the Introduction In Widjit, two to five players work together to create a story of a magical bazaar, where all kinds of gadgets, gizmos, and doodads are available to anyone with something to trade. Mishaps abound, and the only way to solve disruptions and continue shopping is to creatively combine whatever is at hand into impromptu tools and devices. Using these makeshift contraptions likely causes as much chaos as it solves, but with a bit of luck everyone can complete their shopping list before the bazaar descends into total pandemonium.",0.0,0,TTRPG
9503,101 Hex Encounters on the Purple Planet,"From publisher blurb: Bring your outdoor adventures to life! This booklet contains over 100 encounters developed to add sights, smells, sounds, and other dimensions to your PCs' wilderness travels. With this Judge's aid, you are equipped to develop rich, textured encounters on the fly. No need to panic when the group explores new sections of the world you haven't crafted. With this booklet, your planets become vibrant and exciting with little preparation. This guide is specifically crafted to detail the world of the Purple Planet, but it can be adapted to any outdoor adventure. Also included are a few mini adventure locations.",0.0,0,TTRPG
9505,The Between,"Description from BackerKit page: The Between is a tabletop roleplaying game about a group of mysterious monster hunters in Victorian-era London. The hunters are residents of a place called Hargrave House, and their job is to investigate and neutralize monstrous threats terrorizing the city—threats that Scotland Yard won’t or can’t handle themselves. As the story progresses, they become aware of the plans of a Moriarty-style criminal mastermind they will eventually have to confront in order to save Queen and country. The Between is a groundbreaking supernatural investigation game for 1 Keeper (GM) and up to 4 players. It uses the innovative and beloved Carved From Brindlewood mystery system first seen in Brindlewood Bay, where even the Keeper doesn’t know the solution to each case! The game is directly inspired by the gothic horror TV show Penny Dreadful, but also takes inspiration from British horror classics, graphic novels like From Hell and The League of Extraordinary Gentlemen, and pulp-era stories.",0.0,0,TTRPG
9512,The Northern Wastes,"Shadow of the Dragon Queen Companion: the Northern Wastes is a guide to help dungeon masters develop and better explore the campaign’s original chapter. Within this guide you will find: Quick Reference Tables. Organized tables for NPCs featured within the chapter. Expanding the main NPCs. Tips to develop the chapter’s main cast including Dalamar, Belephaion, and more. New Travel Mechanics. Additional tables for both High and Low Wash as well as tips to create a team of NPC specialists during the party’s journey through the Wastes. Restore the Lance. A multistep quest for the party to restore the lost power of the dragonlance they acquired in chapter 4. Updated Locations. Each location has been revisited to give them added narrative weight and connect them better with the campaign’s plot. Revisited Combat Encounters. Important combat encounters have been rebalanced with new units for 3 to 6-person parties. New Battle Maps. Additional maps for locations not featured in the original campaign. Infiltrate the City of Lost Names. New guidelines for location K, the City of Lost Names, have been added for the party to infiltrate the Dragon Army camp to gather information. - from the publisher's blurb",0.0,0,TTRPG
9518,Final Fantasy XIV TTRPG Standard Rulebook,"UNRELEASED GAME This game has not been released yet, therefore some of the information above may change in the future. Until this game is released, please don't submit images for it unless given direct written permission from the publisher which must be noted in the image caption. Publisher's blurb: The Final Fantasy XIV Tabletop Roleplaying Game is a gateway into the magical world of Final Fantasy XIV through which you and your friends can embark on exciting and memorable adventures. ... The Final Fantasy XIV TTRPG Standard Rulebook contains all the core rules you will need to create your own adventurer and play the game.",0.0,0,TTRPG
9519,Ars Magica Definitive Edition,"UNRELEASED GAME This game has not been released yet, therefore some of the information above may change in the future. Until this game is released, please don't submit images for it unless given direct written permission from the publisher which must be noted in the image caption. From the kickstarter: The expanded deluxe version of Ars Magica Fifth Edition! .. Ars Magica is a troupe-style, storytelling game. Players take the role of not only powerful magi, but also the companions and grogs who serve them. Each of these characters contributes to the communal “covenant” where they all live, and to the story itself. User summary: The slipcase product is announced as containing: Ars Magica Definitive Edition core book Reference Guide booklet 3-panel Screen Poster Map",0.0,0,TTRPG
9524,Drakborgen: Ath Ungols hemlighet,"Den mäktige trollkarlen T´siramans borg, känd som Drakborgen, ligger bland Ath Ungols berg norr om Mörkmården. Ingen vet säkert om T´siraman lever eller är död, men det ryktas om att en vålnad hemsöker borgen. Enligt sägnerna kommer borgens omätliga rikedomar från den brutala utplundringen av landet som under mer än ett århundrade genomfördes av trollkarlens liktorer - männen och kvinnorna i hans edsvurna, hänsynslösa garde, i minnet fördömda än i dag. Många talar också om en förbannelse som vilar över Drakborgen. Vad för sanningar som än gömts undan bland legenderna, är det få som har återvänt levande därifrån. (Swedish text on the back side of the book.)",0.0,0,TTRPG
9525,Hexploration Decks & Tiles,"Build an unforgettable campaign setting! These decks offer inspiration through imaginative art, lists of evocative ideas, and simple sandbox/hex crawl guidelines. Plus Hex Minimap Tiles to build a map!",0.0,0,TTRPG
9528,DC20 Magic Item Collection,"UNRELEASED GAME This game has not been released yet, therefore some of the information above may change in the future. Until this game is released, please don't submit images for it unless given direct written permission from the publisher which must be noted in the image caption. From the Kickstarter: This will have a variety of Magic Items of all power levels. Everything from weak items that you can hand out early, all the way to weapons, armors, and trinkets, of immense power!",0.0,0,TTRPG
9531,Terry Pratchett's Discworld RPG: Adventures in Ankh-Morpork Core Rulebook,"The core rulebook for Adventures in Ankh-Morpork, giving you everything you need to play characters and run adventures in the Big Wahoonie. Source: Publisher Blurb",0.0,0,TTRPG
9535,Pico,"From the back of the book: TINY BUGS, BIG WORLD Ever wanted to be a scuttling, buggish sort, riding around from place to place on the back of a titanic cat, making deals with frogs and flowers, solving mysteries as you explore the oversized ruins of the post-Mysteriocalypse? You have? How incredibly specific. This book may be just right for you.",0.0,0,TTRPG
9537,Windheim Companion,"From publisher blurb: Tales tell that the Primeval Deities were created in a massive clash of magic when the most powerful demon faced off against the most powerful dragon, many thousands of years ago. The Gods saw the struggle between dragons and demons and wanted to create a safe place for themselves. Kheldizn, the First, conceived in her mind a sphere within which they would be safe from the evil turmoil and destruction outside. And so she created Eshfera. The other Deities came together and conjured a magical barrier that not even the most powerful Dragon or Demon could pierce through. And within it they created land, sea and sky. They also created most of the kin as we know them today: Elves, Dwarves, Humans, Mallards and Wolfkin. Windheim is a world setting for the roleplaying game Dragonbane, by Free League Publishing, and is published under the third party license for the game. You need the core rulebook for Dragonbane to use this supplement. The Windheim Companion describes the inhabitants, cultures and locations of the massive island, and is a great tool for a game master when running adventures on Windheim. This book features: 12 new monsters, 8 new heroic abilities, 6 new professions, 5 new kin, and a treasure hoard of magical artifacts. Included are also many adventure seeds, written by guest authors such as: Heidi Gygax Garland & Eric Garland, Dave Semark, Ellinor DiLorenzo, Pelle Nilsson, Gunilla Jonsson & Michael Petersen, Erik Granström and Anders Blixt. I legender och urkunder berättas det att de Uråldriga Gudarna skapades ur en otroligt kraftfull magisk kollision, när den mäktigaste demonen stred mot den mäktigaste draken och de båda tillintetgjordes för många tusen år sedan. Gudarna bevittnade striderna mellan drakar och demoner och ville skapa sig en tillflyktsort. Kheldizn, den Första, skapade med sin tankekraft en sfär där de skulle vara skyddade från ondskan och förstörelsen utanför. Så föddes Eshfera. De andra gudarna samarbetade och frammanade en magisk barriär som inte ens den mäktigaste kvarvarande draken eller demonen kunde bryta igenom. Och inom den skapade de land, hav och himmel. De skapade också några av de släkten som finns än idag: alver, dvärgar, människor, ankor och vargfolk. Denna bok innehåller bland annat: 12 nya monster, 8 nya hjälteförmågor, 6 nya yrken, 5 nya släkten, och en hög med nya magiska artefakter. Den inkluderar även många äventyrsfrön, skrivna av gästförfattare såsom: Heidi Gygax Garland & Eric Garland, Dave Semark, Ellinor DiLorenzo, Pelle Nilsson, Gunilla Jonsson & Michael Petersen, Erik Granström och Anders Blixt.",0.0,0,TTRPG
9540,Interface RED Volume 4,"From publisher blurb: Volume 4 of Interface RED adds the following new content to your Cyberpunk RED game: Hornet’s Pharmacy: Drugs, Pharmaceuticals, and associated chemical goodness, courtesy of Hornet, a top Night City Fixer. Black Chrome+: Molly Anderson is here to distribute bonus items that didn’t fit inside Black Chrome. It also includes a helpful discussion on fashion and Linear Frames! Achievements and Loot Boxes: Our annual April Fool’s DLC brings universally loved video game mechanics to RED! Mr. Amaze’s M.R.A.M.A.Z.E. program can be used as a random party goal and treasure generator. Stickball: The sport of the street, played with electrified balls and electromagnetic lacrosse sticks. Used to settle beef between the less violent gangs of Night City. The Dreaded Punknaught: A jury-rigged vehicle custom-made to commit maximum violence at maximum speed. No two of these junkyard-murder-mobiles are alike. Corporate Conapts & Studio Apartments: Looking to move out of your Cargo Container? Come peruse your options and see what you can afford! Halloween Screamsheets: Melissa Wong presents three spooky screamsheets to fill your players with terror! Vampires, Werewolves, and Haunted Vendits, oh my! The 12 Days of Gearmas: Twelve pieces of powerful gear to gift to your characters, thanks to the infamous holiday Netrunner known as S.A.N.T.A. Cyberfists of Fury: Expanded Martial Arts. Twenty-three new martial arts forms for Cyberpunk RED, expanding the core book’s martial arts into an interconnected system of fists and fury! Use them to get even, like Shaitan!",0.0,0,TTRPG
9545,Fabula Ultima Atlas: Natural Fantasy,"From publisher blurb: The outside world is vast and the sins of the past are many. Hold tight to each other and never stop dreaming! The NATURAL FANTASY ATLAS for FABULA ULTIMA will bring you into worlds deeply permeated by the cycles of time and nature, where young heroes face the consequences of past mistakes and demonstrate that history does not have to repeat itself, creating a brave future of coexistence, much like in classic JRPGs! Dive into a new JRPG subgenre based upon harmony and change with 4 new Classes (Floralist, Gourmet, Invoker, and Merchant) and new Heroic Skills to create even more new combinations! 10 natural fantasy locations: archetypal settings with tips and hints for playing an intense natural fantasy campaign or which you can use as inspiration to breathe life into your world. Craft equipment and tools with any materials you gather using the rules for custom weapons and forging. Introduce Quirks, optional rules that add even more depth to your characters, and take a break to share a convivial moment with the camp activities. 5 Villains, challenging new bosses of increasing power to use in your adventures, providing your Players with tougher and more exciting challenges. 208 full-color pages, featuring manga and chibi-style illustrations from international artists. Your story will bring new kindness.",0.0,0,TTRPG
9546,The Ocean Game,"Publisher Blurb: The Ocean Game. A rumour in the underworld. A name whispered through the years. A game born in suffering and tragedy, a game of terror and mayhem, of cryptic rules and secret powers. The Mystery Man has chosen you. You’ve got your ticket to the game. Enter the hidden world. See the monsters behind the masks, walk the roads behind reality. Follow clues hidden in nightmares. Play the game, find meaning. Win the game, and find redemption. The Ocean Game is a campaign framework for Fear Itself in which the player characters become Players of the Ocean Game, exploring a nightmare world of monsters and psychological torment. Use it to run a full Ocean Game campaign or miniseries with the included bonus PDF, Trenker’s Diary, or as a Fear Itself scenario anthology. Four scenarios, new Mystery Men, new creatures of unremitting horror and conspiracies, the realms beyond the Membrane – and the abyss of Unremitting Horror…",0.0,0,TTRPG
9548,Roll For Your Life,"From publisher blurb: Conjure the tale of a kindly wizard who fell to madness. Step into the shoes of a hard-boiled detective to stalk the underworld of 1940s Los Angeles. Draft blueprints for the new Galaxion 7600 Starliner. Roll For Your Life is an activity book that jump-starts your creativity in a simple and engaging way. Draw inspiration from spectacular illustrations, genre-hopping chapters, and evocative language to craft your own fantasy world, brainstorm story hooks, or flesh out a fresh RPG character. Roll the dice to build a story of your own from billions of possible combinations. What comes next is up to you. Roll For Your Life uses quick and fluid mechanics to facilitate a fun and robust world building experience. What you need: A die. Or some other way to generate a random number between 1 and 6. A notepad. Be that physical or digital. Something to record with. We favor the classic pencil. Imagination. Even if it's in a creative rut, in fact, that's even better! And that's it, you're ready to go! There are 3 genre sections and 15 chapters to discover; each one jam-packed with full color original art! Fantasy Wizard Fantasy Tavern Dragon Witch Dungeon Sci-fi Alien Species Starship Mutant Raygun Robot Adventure Wild Westerner Noir Detective Pirate Secret Agent Evil Mastermind Now jump in and start shaping the harrowing details of your cowboy's search for their estranged family, illuminate the history of your magical Tavern and its cutthroat clientele, or build your bleeding edge raygun one blast of which will turn its target into quivering cytoplasmic jelly!",0.0,0,TTRPG
9552,Conan: The Hyborian Age – The Roleplaying Game Core Book,"From the back cover: Conan: The Hyborian Age is a tabletop roleplaying game of swords and sorcery, set against a backdrop of Robert E. Howard’s Conan stories. With King Conan perched upon the throne of Aquilonia, it is time for other brave warriors to take up the mantle of adventurer, to craft their own stories, and to face unknown horrors in the darkest corners of the world. In temple and tomb, through desert and forest, threats lurk unseen, ready to slay and devour. Will you be steady of sword and steadfast of mind? Will you survive an age undreamed of? It is time to carve your own legend. This core book contains everything the Game Masters and players need to explore Conan’s world, including how to create your own character, detailed rules, an exhaustive list of possible encounters, three ready-to-play Tales, a highly detailed history of Conan’s exploits, a geography of the Hyborian world, and a treasure trove of incredible artwork. A Game Master-friendly approach, requiring minimal preparation for each adventure. Quick character creation: be battle ready in minutes, not hours. Accessible and streamlined rules, with an intuitive dice system. Visceral, fast, and empowering combat mechanics that promote a feeling of forward momentum. A gritty, brutal setting, where only the mighty can thrive. A tome for both gamers and fans of Conan literature alike.",0.0,0,TTRPG
9553,Deify,"From the publisher Discover Deify, a captivating creative writing RPG based on mythology from around the world. Create your own deity, molding new gods and their fate from inception to demise. Manage divine resources like domains, epithets, and mortal champions, and navigate written prompts with a tarot deck (not included). Stunning art from illustrator Maia Trewartha will inspire you to visualize unique deities born from gameplay rules, and beautifully designed player sheets and notebook pages will help you capture your journey. As your story unfolds, embrace the enigmatic world beyond worship—will you be merciful or vengeful, benevolent or cruel? The choice is yours, shaped by the cards' will. Dive into Deify for an immersive experience unlike any other! A magnificently illustrated hardcover with gold foil details.",0.0,0,TTRPG
9558,Moonsoon: Game Master's Guide,"Publisher blurb: Dive into the expansive setting of Moonsoon with the Game Master’s Guide, covering the archipelago’s geography, cultures, and multifaceted religions. This guide is a treasure trove of tools for crafting compelling campaigns, including detailed explorations of nine regions and the mystical 12 moons, each packed with adventure hooks and encounters. Enhance your game with the Moon Deck system, bringing the celestial dance of the moons directly into play with dynamic effects.",0.0,0,TTRPG
9560,Mystified! A Flabbergasted Expansion,"Unravel a myriad of mysteries. Mystified! is an expansion to the ENNIE-nominated game Flabbergasted! Learn how to craft a mystery-driven campaign to introduce into your Flabbergasted games. Befuddle, bewitch and bewilder your players as they unravel a myriad of mysteries, with 3 NEW ARCHETYPES, 3 NEW LOCATIONS and plenty of campaigns, story hooks and pre-made club sheets. All of this will be made easy to incorporate into your Flabbergasted games through our new Mystery Sheet.",0.0,0,TTRPG
9563,Crooked Moon: A Folk Horror for 5e,"The Crooked Moon is a massive 632-page tome that brings Folk Horror to 5E! Inside, you'll find player options & GM tools to terrify your friends in a haunting game you’ll never forget, drawing inspiration from grim folklore, legendary horror films, and classic Halloween aesthetics. Immerse yourself in the creepy, thrilling, and mysterious campaign setting of Druskenvald - a demiplane of endless night where the living and dead coexist. Brand new mechanics and features such as the Fateweaving System - easy to use tools to intertwine player character backstories and motivations into the main narrative! Explore all new character creation options including 15 folk horror subclasses and 13 Halloween-inspired reborn species - such as: the Sinner Rogue, a roguish archetype empowered with inflicting hexes & curses with the art of Jinxcrafting; or the Harvestborn, a species of scarecrow-like constructs of wood, metal, or straw. A robust bestiary featuring 85 monsters and beasts inspired by Halloween and folklore, and 11 Legendary Boss Monsters such as the Wikcker Man, The Ghost Train, or The Horned King, to create vivid, iconic, and challenging combat encounters! 26 epic upgrading magic items to use as loot in your games! A terrifying 350-page original adventure for levels 1-13 where a party of wayward souls must journey through the shroud aboard the Ghostlight Express to uncover the dark machinations of the Crooked Man! (from Drive True RPG's page)",0.0,0,TTRPG
9565,Marvel Multiverse Roleplaying Game Starter Set: Escape From Planet Hulk,"The Marvel Multiverse RPG Starter Set includes everything needed to dive into the Mulitverse and become a Super Hero! It features a condensed ruleset, a starting roster of six heroes, maps, tokens and custom dice for an easy start. The starter adventure, ""Escape from Planet Hulk"", thrusts you and your team into the arena by the Grandmaster to battle a cabal of super villains led by the mysterious Technomancer! Using your unique powers and abilities, you must defeat these villains, evade the rampaging Hulk, and work together to overcome obstacles that no single hero could handle alone. So gather your friends, marshal your strength and prepare for the deadliest challenge of your hero's career!",0.0,0,TTRPG
9568,Knight of the Grave,"From publisher blurb: Written for the 5th edition of the world's most popular roleplaying game. The Grave Knight Leonidas Uviir has returned from a hundred-year absence and now seeks to recreate the Androsan Empire through conquest, and subject all of the former lands to his despicable rule. To that end, his undead army has laid siege to Lorcastle, where he intends to create a bastion, and retake the empire that fell a hundred years ago. It is up to the PCs to defeat him in battle and turn the tide before it's too late. However simply killing him is only the beginning, for a graveknight is only truly destroyed when its armor is unmade. The characters must then journey to the temple of the snake-like Nkoll, and then defeat numerous subterranean challenges so they can challenge him a second and final time, and ending the tyranny of Uviir once and for all. Knight of the Grave was designed by Darrin Drader, who designed the official Death Knight for the third edition of the world's most popular roleplaying game, as well as the original graveknight for Paizo Publishing, for the first edition of the Pathfinder roleplaying game. The graveknight has been fully converted to 5th edition and is designated as open gaming content. This adventure is designed for characters of 17th level.",0.0,0,TTRPG
9569,The Caverns of Thracia (5E),"From the back cover: A MEGADUNGEON FOR CHARACTER LEVELS 1-10 A Thousand-Year-Old Dungeon Mystery Waiting To Be Solved! The end of one empire sees the birth of a new one deep within the earth. Born in the forgotten chambers and caverns of age-lost Thracia rises a formidable foe: the Minotaur King, along with his host of dogfolk, gnolls, lizardfolk, and others. Some say even Death itself lingers in the Caverns of Thracia, ready to claim any who stumble upon its unholy chapel. The secrets of Thracia are manifold, its treasures thrice that. Do you have the mettle to survive… the Caverns of Thracia? The Caverns of Thracia is a complete mega-dungeon setting that supports a full-year campaign! Takes characters from levels 1 through 10 6 vast dungeon levels 150+ detailed encounter areas 45+ fully-developed new monsters and NPCs 35+ new magic items and spells, plus one new divine domain Plenty of opportunities for combat, exploration, and social interaction with interesting NPCs Tribute essays from professional RPG designers A full reprint of the original The Caverns of Thracia by Jennell Jaquays",0.0,0,TTRPG
9574,Keepers of the Elven-rings,"“In Eregion long ago many Elven-rings were made, magic rings as you call them, and they were, of course, of various kinds: some more potent and some less. The lesser rings were only essays in the craft before it was full-grown, and to the Elven-smiths they were but trifles – yet still to my mind dangerous for mortals. But the Great Rings, the Rings of Power, they were perilous.” In the twilight of the Third Age, three realms of the West-elves still endure in Middle-earth. By the power of the Three Rings, they exist as a testament to a time that was. But not only the Elves remember. As Sauron gathers his strength to bring war to Middle-earth once again, he plans a devious vengeance against those who humbled him long ago. Keepers of the Elven-rings is a supplement for The Lord of the Rings Roleplaying, the official tabletop roleplaying game based on the works of J.R.R. Tolkien. Chapter 1: Where The West-elves Still Linger describes the realms of Lórien, Rivendell and Lindon and those who dwell there, including the Elf-lords who are their guardians. Chapter 2: The Days Darken provides the Loremaster with details about Sauron’s schemes against the Immortal Folk, including possible events, Adversaries, and Loremaster characters. Chapter 3: Landmarks outlines twelve sites of interest, including locations mentioned in The Lord of the Rings™ and others created specifically for the game. The Appendix contains rules to play High Elves and Wood-elves, and introduces guidelines to create Elf-lords, powerful characters who can reach level 20 and are therefore suited for epic level play.",0.0,0,TTRPG
9575,Cycle of the Snake-Wolf 3: The Scales of Hyper-Visor God or The Final Voyage of the Crab King,"From publisher blurb: A paranoid, conspiracy laden, 296-page adventure for Levels 1-6+ for Dungeon Crawl Classics. A Town with Problems, a trek through the Woods, a crawl across The Capitol, and an endless dive into a Mega-Dungeon—chasing a man who dared to touch a God. All tied together with a [Conspiracy Die] that shrinks and grows as the world becomes more and less rational; unable to explain itself. Honestly I was reading Muster, became obsessed with Old School Essential’s dungeon creation procedures, and dove in… then Sean McCoy (Mothership) kicked off Dungeon23 and I knew I needed to release this product. It all started in the Shattered Woods—an agent, a family man, the Crab-King, was sent to visit a god. He touched He, setting off a chain reaction of events, the foretold death of a god, and his own mutagenesis. Enter Mercy of Angels, the haven in the Shattered Woods that housed the dying god and the government man gone mad. Here is the base of operations, where this adventure could start—but doesn’t need to. Everyone wants to find the Crab-King and just bring him home. To his family? To Washington? Rumours say he needs to be brought back to Washington, so maybe there? Maybe you find him? Maybe you just wandered over the Covered Bridge, but you make it to Washington, a place much more paranoid than you think it would be. You can’t trust anyone, but the food is good, and the drinks are even better. Supposedly the Salons (House Parties) are good too. Also, the Witch-Phase have emerged from the earth… I should have mentioned that earlier on the page. They’re elves with shark lineage from the pits of the earth. Dodge the People-in-Black, or don’t—they’ll just send Black Helicopters to bring you back. Don’t say alien. And, most importantly, DO NOT UNDER ANY CIRCUMSTANCES EVER ENTER THE FACILITY. THERE IS NOTHING THERE AND IT IS DEFINITELY NOT JUST AN OFFICE BUILDING ON TOP OF A BLACK SITE ON TOP OF AN ALIEN CRASH SITE ON TOP OF A SET OF INTERDIMENSIONAL PORTALS. It is in fact a mega-dungeon. Mercy of Angels, the starting town that once housed a god. The Shattered Woods, a point crawl investigating what’s really going on in the woods. Washington, a city crawl searching for “the facility”: A mega-dungeon with 360 rooms, spanning 12 levels, with 13 factions vying for power, 6 layers of history, and at least 2 dragons. 270+ encounters — a lot of things are wandering about, eating people, firing lasers, the usual. 210+ NPCS — from healers, card game players, town mayors, bounty hunters, to a walking brain. 100+ Bestiary Entries — people-in-black, black helicopters, black cars, mutant shock troopers, holographic alien ghosts... the usual 90+ new pieces of gear — from Trinidadian food to shock rifles to all matter of reverse engineered alien technology. 40+ Vehicles — tanks, catamarans, hang gliders. 24 Mercenaries — including a strange man in a mask and a were-jackalope. 30 adventure hooks — there’s UFOs in Washington you know. 30 occupations and new character Desires to go with them. — you can be a noise musician! 1 new playable species. not including the Metal-Faced Giantess, the Giant Robot, or the Spell OS Drives scattered all about; as well as procedures for Oracle Cards, Trading Cards, and Collectible Card Games.",0.0,0,TTRPG
9577,Hellpits of NightFang,"From the back cover: HELLPITS OF NIGHTFANG A SPINE-CHILLING ADVENTURE FOR 9TH-LEVEL CHARACTERS Nocturnal attacks have locals terrified, fearful of leaving the safety of home and hearth once the sun goes down. Something is haunting the night and the locals have dubbed it “NightFang.” The locals are desperate for assistance. Hushed whispers and pointed gestures suggest that the Hellpits, a trio of sinkholes said to house the tomb of a great hero of old that may be the lair of NightFang. Do the heroes possess the cunning and prowess to confront the ferocious vampire which haunts the Hellpits? And is this undead menace the sole evil that lurks within those sunken chambers and passages? The heroes will prevail, or end up the helpless thralls of a vampiric master! Hellpits of NightFang is a 5E adventure intended for use with four to six 9th level characters. Originally written by renowned game designer Jennell Jaquays, Hellpits of NightFang has finally been fully converted for use with 5E rules and can be easily inserted into any home campaign.Hellpits of NightFang is a 5E adventure intended for use with four to six 9th level characters. Originally written by renowned game designer Jennell Jaquays, Hellpits of NightFang has finally been fully converted for use with 5E rules and can be easily inserted into any home campaign.",0.0,0,TTRPG
9578,Acquisitive Minds: An OS Mixtape RPG,"You are entering Lastlands at the height of the Diluvian Age... Welcome to a world of tiny empires, intrigue and opportunity. Welcome to the Dungeonarium. (Publisher Blurb) Acquisitive Minds is a tabletop fantasy roleplaying game about unscrupulous ruffians seeking glory and wealth in a world well past its prime – in the distant future, or perhaps some long forgotten past. What little dry land remains is divided into squabbling city-states, resources are scarce, and deep, dark places teem with monsters eager to overthrow the reign of the surface dwellers. Instead of heroes destined for guaranteed greatness, player characters are ordinary people trying to improve their lot in life with any means necessary. (If that makes them ”murder hoboes”, then so be it.) 12 character trades. 11+ character species. 4+ schools of magic. Any combination is possible – or come up with something entirely new. The rules are short and simple, designed to form an intuitive framework for improvisation and negotiation. Characters grow with experience, but not along any preset class career path; once a player has picked a trade – spy, artisan, trader, scholar, explorer, assassin or something else – they are free to develop their character in any way they wish. Likewise, traditional fantasy species and monsters have been left out. In their place, avians, Lemurian titans, gravedodgers and screwheads fight against twisted gits, bloated slobs, well devils, gigantic ice worms and evil sentient houses. Combat is quick and dangerous, and magic is brutal. Any semblance of play balance is purely accidental. 6 attributes. d20 save and hit rolls. Hit, experience and spell points. Roots firmly in the late seventies, but with all new rules and unprecedented weirdness. Acquisitive Minds is a new take on oldschool roleplaying published by No Just Books. It was dreamed up and written down by Antti Hoo. and illustrated by Hilda Herkman, Anton Erwe & Antti Hoo. Maximum imaginative freedom. Player-driven character development and worldbuilding. No game balance or verisimilitude. Beautiful madness.",0.0,0,TTRPG
9579,Glory Road Roleplay IIE - Core Rules,"Publisher's blurb: What started out as a slight cleanup and change in presentation led to one major change in the system itself after another[.] This edition can be used with all of our previously published settings, GM and player aides, and modules[.] ... Material to run games in the Black Mountain District, urban games in the great city of Old Meyoss, and games on the Silk Road.",0.0,0,TTRPG
9580,Age of Adventure RPG (Deluxe Edition),"Age of Adventure RPG is a rules-light old-school heroic fantasy tabletop roleplaying game inspired by John Harper's Lasers and Feelings d6 system The ""Deluxe Edition"" expands the original one-page rule-set to 12 pages with additional rules and improved layout and design for accessibility (easier to read, learn and play). Includes bookmarks, chapters, and a booklet printing option. Welcome adventurer – to an exciting world of monsters, mayhem and magic. All you need are some 6-sided dice and your imagination. All the rules needed to play are included: CHARACTER CREATION: Choose a Community (Dwarf; Elf; Goblin; Halfling; Human; or Orc) and a Role (Archer; Barbarian; Cleric; Rogue; Warrior; or Wizard) PROFICIENCY: choose a number from 2 to 5. A high number means you’re better at Might Actions. A low number means you’re better at Mind Actions SKILLS & STAMINA: your Community & Role determines your Skills; rules for death and healing HERO POINTS: meta-currency to complete heroic Actions PROFICIENCY CHECKS: simple d6 dice pool resolution MAGIC & SPELLS: rules on using Magic and casting Spells EQUIPMENT: all the gear needed for the adventure ahead using a simple ""slot-based"" encumbrance system RUNNING THE GAME: Random Generators; Turn Order system; Combat DAMAGE & SPECIAL ACTIONS: rules for different types of Damage; Surprise and Special Actions ENCOUNTER TABLE: adversaries, hazards, traps and obstacles CAMPAIGN PLAY: complete adventures to gain Fortune & Glory! Now Onward To Adventure!",0.0,0,TTRPG
9582,Adventures in Gilead,"From publisher blurb: Amidst the crumbling Imperial ruins and war-ravaged wastes of the Gilead System, dangerous heretics, sinister xenos and malevolent plots lurk in every shadow… Adventures in Gilead is a thrilling collection of exciting adventure scenarios and character frameworks for Warhammer 40,000 Roleplay: Wrath & Glory. Players are plunged straight into the intrigue, peril, and danger that define life in the Gilead System from the introductory Rain of Mercy through to the dark machinations of the Chaos Lord Maloquence. Game Masters will find Adventures in Gilead to be an indispensable tool, bursting with ready-to-play adventure scenarios, detailed character frameworks, and countless plot hooks to help build further campaigns and bring the Gilead System to life! From rampaging Orks to Chaos warbands, Adventures in Gilead is packed with gripping adventures and detailed character frameworks, including: Pilgrims of the Wastes — Face down savage Ork Kommandos, duplicitous Aeldari and their insidious machinations, and a sect of the Adeptus Ministorum so fanatical their beliefs border on heresy, all while attempting to navigate the vicious ash-storms and rampaging megafauna of Nethreus! Wretches of the Writ — A grim collection of traitorous Chaos-aligned characters, locations and artefacts. Learn of the Dark Apostle Maloquence and his vile presence within the Gilead System and his plans to seize it in the name of the Dark Gods. Shards of Ul-Khari — Negotiate the cutthroat politics of the Corsair courts, rival warbands, Drukhari hunters, Asuryani envoys, and nefarious Imperial Rogue Traders in this Aeldari-focused adventure. Gutshiva’s Commandos — This explosive adventure framework lets you take control of a group of Ork Kommandos as they sabotage defences, sow chaos and confusion, and prepare to unleash destruction upon an Imperial hive city in preparation for the arrival of a full-blown Waaagh!. Whether you’re weaving a single desperate mission into an existing campaign or creating an epic chronicle of survival in the Emperor’s name, Adventures in Gilead brings the thunderous war zones and awe-inspiring action of the Gilead System to life!",0.0,0,TTRPG
